details,result
"比賽模式: CLASSIC
使用英雄: AurelionSol (MIDDLE)
終場表現: - 擊殺數: 6, 死亡數: 6, 助攻數: 7 - 獲得金錢: 10793 - 經驗值: 12308, 等级: 14 - 小兵擊殺數: 172, 野怪擊殺數: 2 關鍵事件:
- 在 388 秒時，(AurelionSol (MIDDLE)) 助攻 (Zeri (BOTTOM)) 擊殺了 (Malphite (MIDDLE))
- 在 399 秒時，(AurelionSol (MIDDLE)) 被 (Thresh (UTILITY)) 擊殺
- 在 438 秒時，(AurelionSol (MIDDLE)) 助攻 (Olaf (TOP)) 擊殺了 (Singed (TOP))
",Lose
"比賽模式: CLASSIC
使用英雄: Zeri (BOTTOM)
終場表現: - 擊殺數: 3, 死亡數: 5, 助攻數: 7 - 獲得金錢: 10512 - 經驗值: 9764, 等级: 12 - 小兵擊殺數: 246, 野怪擊殺數: 8 關鍵事件:
- 在 388 秒時，(Zeri (BOTTOM)) 擊殺了 (Malphite (MIDDLE))
- 在 436 秒時，(Zeri (BOTTOM)) 被 (MasterYi (JUNGLE)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Yuumi (UTILITY)
終場表現: - 擊殺數: 0, 死亡數: 3, 助攻數: 11 - 獲得金錢: 5925 - 經驗值: 9557, 等级: 12 - 小兵擊殺數: 5, 野怪擊殺數: 0 關鍵事件:
- 在 388 秒時，(Yuumi (UTILITY)) 助攻 (Zeri (BOTTOM)) 擊殺了 (Malphite (MIDDLE))
- 在 441 秒時，(Yuumi (UTILITY)) 被 (MasterYi (JUNGLE)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Malphite (TOP)
終場表現: - 擊殺數: 5, 死亡數: 3, 助攻數: 2 - 獲得金錢: 7865 - 經驗值: 11149, 等级: 13 - 小兵擊殺數: 156, 野怪擊殺數: 0 關鍵事件:
- 在 358 秒時，(Malphite (TOP)) 被 (Belveth (JUNGLE)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Viego (JUNGLE)
終場表現: - 擊殺數: 5, 死亡數: 3, 助攻數: 3 - 獲得金錢: 8334 - 經驗值: 7749, 等级: 11 - 小兵擊殺數: 23, 野怪擊殺數: 99 關鍵事件:
- 在 452 秒時，(Viego (JUNGLE)) 被 (Yasuo (MIDDLE)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Swain (MIDDLE)
終場表現: - 擊殺數: 1, 死亡數: 6, 助攻數: 4 - 獲得金錢: 5766 - 經驗值: 7869, 等级: 11 - 小兵擊殺數: 108, 野怪擊殺數: 0 關鍵事件:
- 在 382 秒時，(Swain (MIDDLE)) 被 (Belveth (JUNGLE)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Samira (BOTTOM)
終場表現: - 擊殺數: 6, 死亡數: 7, 助攻數: 5 - 獲得金錢: 9077 - 經驗值: 8013, 等级: 11 - 小兵擊殺數: 163, 野怪擊殺數: 0 關鍵事件:
- 在 174 秒時，(Samira (BOTTOM)) 擊殺了 (Sivir (BOTTOM))
- 在 174 秒時，(Samira (BOTTOM)) 被 (Blitzcrank (UTILITY)) 擊殺
- 在 228 秒時，(Samira (BOTTOM)) 擊殺了 (Blitzcrank (UTILITY))
- 在 408 秒時，(Samira (BOTTOM)) 擊殺了 (Blitzcrank (UTILITY))
- 在 417 秒時，(Samira (BOTTOM)) 擊殺了 (Sivir (BOTTOM))
- 在 538 秒時，(Samira (BOTTOM)) 擊殺了 (Sivir (BOTTOM))
",Lose
"比賽模式: CLASSIC
使用英雄: Rakan (UTILITY)
終場表現: - 擊殺數: 0, 死亡數: 5, 助攻數: 14 - 獲得金錢: 5799 - 經驗值: 6802, 等级: 10 - 小兵擊殺數: 31, 野怪擊殺數: 0 關鍵事件:
- 在 174 秒時，(Rakan (UTILITY)) 助攻 (Samira (BOTTOM)) 擊殺了 (Sivir (BOTTOM))
- 在 228 秒時，(Rakan (UTILITY)) 助攻 (Samira (BOTTOM)) 擊殺了 (Blitzcrank (UTILITY))
- 在 233 秒時，(Rakan (UTILITY)) 被 (Belveth (JUNGLE)) 擊殺
- 在 408 秒時，(Rakan (UTILITY)) 助攻 (Samira (BOTTOM)) 擊殺了 (Blitzcrank (UTILITY))
- 在 410 秒時，(Rakan (UTILITY)) 被 (Sivir (BOTTOM)) 擊殺
- 在 538 秒時，(Rakan (UTILITY)) 助攻 (Samira (BOTTOM)) 擊殺了 (Sivir (BOTTOM))
",Lose
"比賽模式: CLASSIC
使用英雄: Singed (TOP)
終場表現: - 擊殺數: 2, 死亡數: 4, 助攻數: 5 - 獲得金錢: 7543 - 經驗值: 10168, 等级: 13 - 小兵擊殺數: 146, 野怪擊殺數: 2 關鍵事件:
- 在 358 秒時，(Singed (TOP)) 助攻 (Belveth (JUNGLE)) 擊殺了 (Malphite (TOP))
",Win
"比賽模式: CLASSIC
使用英雄: Belveth (JUNGLE)
終場表現: - 擊殺數: 12, 死亡數: 1, 助攻數: 6 - 獲得金錢: 11758 - 經驗值: 12708, 等级: 14 - 小兵擊殺數: 23, 野怪擊殺數: 143 關鍵事件:
- 在 233 秒時，(Belveth (JUNGLE)) 擊殺了 (Rakan (UTILITY))
- 在 358 秒時，(Belveth (JUNGLE)) 擊殺了 (Malphite (TOP))
- 在 382 秒時，(Belveth (JUNGLE)) 擊殺了 (Swain (MIDDLE))
- 在 452 秒時，(Belveth (JUNGLE)) 助攻 (Yasuo (MIDDLE)) 擊殺了 (Viego (JUNGLE))
",Win
"比賽模式: CLASSIC
使用英雄: Yasuo (MIDDLE)
終場表現: - 擊殺數: 4, 死亡數: 3, 助攻數: 8 - 獲得金錢: 10058 - 經驗值: 11494, 等级: 14 - 小兵擊殺數: 163, 野怪擊殺數: 10 關鍵事件:
- 在 382 秒時，(Yasuo (MIDDLE)) 助攻 (Belveth (JUNGLE)) 擊殺了 (Swain (MIDDLE))
- 在 452 秒時，(Yasuo (MIDDLE)) 擊殺了 (Viego (JUNGLE))
",Win
"比賽模式: CLASSIC
使用英雄: Sivir (BOTTOM)
終場表現: - 擊殺數: 4, 死亡數: 4, 助攻數: 9 - 獲得金錢: 9794 - 經驗值: 10641, 等级: 13 - 小兵擊殺數: 165, 野怪擊殺數: 0 關鍵事件:
- 在 174 秒時，(Sivir (BOTTOM)) 被 (Samira (BOTTOM)) 擊殺
- 在 174 秒時，(Sivir (BOTTOM)) 助攻 (Blitzcrank (UTILITY)) 擊殺了 (Samira (BOTTOM))
- 在 233 秒時，(Sivir (BOTTOM)) 助攻 (Belveth (JUNGLE)) 擊殺了 (Rakan (UTILITY))
- 在 410 秒時，(Sivir (BOTTOM)) 擊殺了 (Rakan (UTILITY))
- 在 417 秒時，(Sivir (BOTTOM)) 被 (Samira (BOTTOM)) 擊殺
- 在 538 秒時，(Sivir (BOTTOM)) 被 (Samira (BOTTOM)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: Blitzcrank (UTILITY)
終場表現: - 擊殺數: 2, 死亡數: 5, 助攻數: 8 - 獲得金錢: 6269 - 經驗值: 7141, 等级: 10 - 小兵擊殺數: 30, 野怪擊殺數: 0 關鍵事件:
- 在 174 秒時，(Blitzcrank (UTILITY)) 擊殺了 (Samira (BOTTOM))
- 在 228 秒時，(Blitzcrank (UTILITY)) 被 (Samira (BOTTOM)) 擊殺
- 在 233 秒時，(Blitzcrank (UTILITY)) 助攻 (Belveth (JUNGLE)) 擊殺了 (Rakan (UTILITY))
- 在 408 秒時，(Blitzcrank (UTILITY)) 被 (Samira (BOTTOM)) 擊殺
- 在 410 秒時，(Blitzcrank (UTILITY)) 助攻 (Sivir (BOTTOM)) 擊殺了 (Rakan (UTILITY))
- 在 452 秒時，(Blitzcrank (UTILITY)) 助攻 (Yasuo (MIDDLE)) 擊殺了 (Viego (JUNGLE))
",Win
"比賽模式: CLASSIC
使用英雄: Shaco (UTILITY)
終場表現: - 擊殺數: 5, 死亡數: 4, 助攻數: 7 - 獲得金錢: 7690 - 經驗值: 7885, 等级: 11 - 小兵擊殺數: 30, 野怪擊殺數: 0 關鍵事件:
- 在 203 秒時，(Shaco (UTILITY)) 助攻 (Corki (BOTTOM)) 擊殺了 (RekSai (JUNGLE))
- 在 210 秒時，(Shaco (UTILITY)) 擊殺了 (Draven (BOTTOM))
",Lose
"比賽模式: CLASSIC
使用英雄: Udyr (JUNGLE)
終場表現: - 擊殺數: 2, 死亡數: 6, 助攻數: 9 - 獲得金錢: 7095 - 經驗值: 7886, 等级: 11 - 小兵擊殺數: 16, 野怪擊殺數: 82 關鍵事件:
- 在 497 秒時，(Udyr (JUNGLE)) 擊殺了 小龍
",Lose
"比賽模式: CLASSIC
使用英雄: Zed (MIDDLE)
終場表現: - 擊殺數: 4, 死亡數: 8, 助攻數: 6 - 獲得金錢: 8509 - 經驗值: 10078, 等级: 13 - 小兵擊殺數: 150, 野怪擊殺數: 0 關鍵事件:
- 在 220 秒時，(Zed (MIDDLE)) 擊殺了 (Soraka (UTILITY))
",Lose
"比賽模式: CLASSIC
使用英雄: Corki (BOTTOM)
終場表現: - 擊殺數: 8, 死亡數: 7, 助攻數: 9 - 獲得金錢: 10521 - 經驗值: 9118, 等级: 12 - 小兵擊殺數: 137, 野怪擊殺數: 4 關鍵事件:
- 在 203 秒時，(Corki (BOTTOM)) 擊殺了 (RekSai (JUNGLE))
- 在 206 秒時，(Corki (BOTTOM)) 被 (Draven (BOTTOM)) 擊殺
- 在 210 秒時，(Corki (BOTTOM)) 助攻 (Shaco (UTILITY)) 擊殺了 (Draven (BOTTOM))
- 在 220 秒時，(Corki (BOTTOM)) 助攻 (Zed (MIDDLE)) 擊殺了 (Soraka (UTILITY))
",Lose
"比賽模式: CLASSIC
使用英雄: Vayne (TOP)
終場表現: - 擊殺數: 0, 死亡數: 6, 助攻數: 2 - 獲得金錢: 5800 - 經驗值: 8998, 等级: 12 - 小兵擊殺數: 123, 野怪擊殺數: 0 關鍵事件:
- 在 531 秒時，(Vayne (TOP)) 被 (DrMundo (TOP)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Kassadin (MIDDLE)
終場表現: - 擊殺數: 7, 死亡數: 3, 助攻數: 13 - 獲得金錢: 12982 - 經驗值: 14242, 等级: 15 - 小兵擊殺數: 177, 野怪擊殺數: 0 關鍵事件:
",Win
"比賽模式: CLASSIC
使用英雄: Soraka (UTILITY)
終場表現: - 擊殺數: 0, 死亡數: 5, 助攻數: 20 - 獲得金錢: 6626 - 經驗值: 7586, 等级: 11 - 小兵擊殺數: 17, 野怪擊殺數: 0 關鍵事件:
- 在 220 秒時，(Soraka (UTILITY)) 被 (Zed (MIDDLE)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: DrMundo (TOP)
終場表現: - 擊殺數: 5, 死亡數: 2, 助攻數: 6 - 獲得金錢: 10978 - 經驗值: 13576, 等级: 15 - 小兵擊殺數: 186, 野怪擊殺數: 4 關鍵事件:
- 在 531 秒時，(DrMundo (TOP)) 擊殺了 (Vayne (TOP))
",Win
"比賽模式: CLASSIC
使用英雄: RekSai (JUNGLE)
終場表現: - 擊殺數: 2, 死亡數: 6, 助攻數: 9 - 獲得金錢: 8675 - 經驗值: 9224, 等级: 12 - 小兵擊殺數: 13, 野怪擊殺數: 88 關鍵事件:
- 在 203 秒時，(RekSai (JUNGLE)) 被 (Corki (BOTTOM)) 擊殺
- 在 206 秒時，(RekSai (JUNGLE)) 助攻 (Draven (BOTTOM)) 擊殺了 (Corki (BOTTOM))
",Win
"比賽模式: CLASSIC
使用英雄: Draven (BOTTOM)
終場表現: - 擊殺數: 17, 死亡數: 3, 助攻數: 3 - 獲得金錢: 14071 - 經驗值: 11130, 等级: 13 - 小兵擊殺數: 141, 野怪擊殺數: 18 關鍵事件:
- 在 206 秒時，(Draven (BOTTOM)) 擊殺了 (Corki (BOTTOM))
- 在 210 秒時，(Draven (BOTTOM)) 被 (Shaco (UTILITY)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: Skarner (TOP)
終場表現: - 擊殺數: 2, 死亡數: 11, 助攻數: 18 - 獲得金錢: 10123 - 經驗值: 15873, 等级: 16 - 小兵擊殺數: 126, 野怪擊殺數: 4 關鍵事件:
- 在 212 秒時，(Skarner (TOP)) 被 (Rengar (JUNGLE)) 擊殺
- 在 504 秒時，(Skarner (TOP)) 擊殺了 (Zed (TOP))
",Win
"比賽模式: CLASSIC
使用英雄: Corki (BOTTOM)
終場表現: - 擊殺數: 24, 死亡數: 7, 助攻數: 4 - 獲得金錢: 21444 - 經驗值: 17414, 等级: 17 - 小兵擊殺數: 228, 野怪擊殺數: 4 關鍵事件:
- 在 145 秒時，(Corki (BOTTOM)) 擊殺了 (Lucian (BOTTOM))
- 在 249 秒時，(Corki (BOTTOM)) 助攻 (Diana (JUNGLE)) 擊殺了 (Lucian (BOTTOM))
- 在 266 秒時，(Corki (BOTTOM)) 擊殺了 (Yuumi (UTILITY))
- 在 440 秒時，(Corki (BOTTOM)) 擊殺了 (Lucian (BOTTOM))
- 在 443 秒時，(Corki (BOTTOM)) 被 (Yuumi (UTILITY)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: Tryndamere (MIDDLE)
終場表現: - 擊殺數: 9, 死亡數: 3, 助攻數: 2 - 獲得金錢: 16834 - 經驗值: 20017, 等级: 18 - 小兵擊殺數: 255, 野怪擊殺數: 34 關鍵事件:
",Win
"比賽模式: CLASSIC
使用英雄: Diana (JUNGLE)
終場表現: - 擊殺數: 3, 死亡數: 6, 助攻數: 11 - 獲得金錢: 12243 - 經驗值: 17328, 等级: 17 - 小兵擊殺數: 27, 野怪擊殺數: 188 關鍵事件:
- 在 249 秒時，(Diana (JUNGLE)) 擊殺了 (Lucian (BOTTOM))
",Win
"比賽模式: CLASSIC
使用英雄: Nautilus (UTILITY)
終場表現: - 擊殺數: 0, 死亡數: 9, 助攻數: 27 - 獲得金錢: 9521 - 經驗值: 13419, 等级: 15 - 小兵擊殺數: 28, 野怪擊殺數: 0 關鍵事件:
- 在 145 秒時，(Nautilus (UTILITY)) 助攻 (Corki (BOTTOM)) 擊殺了 (Lucian (BOTTOM))
- 在 249 秒時，(Nautilus (UTILITY)) 助攻 (Diana (JUNGLE)) 擊殺了 (Lucian (BOTTOM))
- 在 266 秒時，(Nautilus (UTILITY)) 助攻 (Corki (BOTTOM)) 擊殺了 (Yuumi (UTILITY))
- 在 271 秒時，(Nautilus (UTILITY)) 被 (Yuumi (UTILITY)) 擊殺
- 在 440 秒時，(Nautilus (UTILITY)) 助攻 (Corki (BOTTOM)) 擊殺了 (Lucian (BOTTOM))
",Win
"比賽模式: CLASSIC
使用英雄: Zed (TOP)
終場表現: - 擊殺數: 2, 死亡數: 10, 助攻數: 15 - 獲得金錢: 11147 - 經驗值: 14416, 等级: 15 - 小兵擊殺數: 183, 野怪擊殺數: 0 關鍵事件:
- 在 212 秒時，(Zed (TOP)) 助攻 (Rengar (JUNGLE)) 擊殺了 (Skarner (TOP))
- 在 504 秒時，(Zed (TOP)) 被 (Skarner (TOP)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Rengar (JUNGLE)
終場表現: - 擊殺數: 9, 死亡數: 10, 助攻數: 12 - 獲得金錢: 14077 - 經驗值: 15976, 等级: 16 - 小兵擊殺數: 89, 野怪擊殺數: 125 關鍵事件:
- 在 212 秒時，(Rengar (JUNGLE)) 擊殺了 (Skarner (TOP))
",Lose
"比賽模式: CLASSIC
使用英雄: Lux (MIDDLE)
終場表現: - 擊殺數: 16, 死亡數: 5, 助攻數: 11 - 獲得金錢: 17211 - 經驗值: 19167, 等级: 18 - 小兵擊殺數: 263, 野怪擊殺數: 0 關鍵事件:
",Lose
"比賽模式: CLASSIC
使用英雄: Lucian (BOTTOM)
終場表現: - 擊殺數: 7, 死亡數: 8, 助攻數: 8 - 獲得金錢: 13343 - 經驗值: 13104, 等级: 15 - 小兵擊殺數: 216, 野怪擊殺數: 4 關鍵事件:
- 在 145 秒時，(Lucian (BOTTOM)) 被 (Corki (BOTTOM)) 擊殺
- 在 249 秒時，(Lucian (BOTTOM)) 被 (Diana (JUNGLE)) 擊殺
- 在 440 秒時，(Lucian (BOTTOM)) 被 (Corki (BOTTOM)) 擊殺
- 在 443 秒時，(Lucian (BOTTOM)) 助攻 (Yuumi (UTILITY)) 擊殺了 (Corki (BOTTOM))
",Lose
"比賽模式: CLASSIC
使用英雄: Yuumi (UTILITY)
終場表現: - 擊殺數: 2, 死亡數: 5, 助攻數: 18 - 獲得金錢: 7879 - 經驗值: 12664, 等级: 14 - 小兵擊殺數: 19, 野怪擊殺數: 0 關鍵事件:
- 在 266 秒時，(Yuumi (UTILITY)) 被 (Corki (BOTTOM)) 擊殺
- 在 271 秒時，(Yuumi (UTILITY)) 擊殺了 (Nautilus (UTILITY))
- 在 443 秒時，(Yuumi (UTILITY)) 擊殺了 (Corki (BOTTOM))
",Lose
"比賽模式: CLASSIC
使用英雄: Yuumi (UTILITY)
終場表現: - 擊殺數: 1, 死亡數: 7, 助攻數: 10 - 獲得金錢: 5845 - 經驗值: 7062, 等级: 10 - 小兵擊殺數: 4, 野怪擊殺數: 0 關鍵事件:
- 在 230 秒時，(Yuumi (UTILITY)) 被 (Sivir (BOTTOM)) 擊殺
- 在 340 秒時，(Yuumi (UTILITY)) 助攻 (Warwick (JUNGLE)) 擊殺了 (Khazix (JUNGLE))
- 在 391 秒時，(Yuumi (UTILITY)) 助攻 (Warwick (JUNGLE)) 擊殺了 (Milio (UTILITY))
- 在 515 秒時，(Yuumi (UTILITY)) 助攻 (Zeri (BOTTOM)) 擊殺了 (Sivir (BOTTOM))
- 在 516 秒時，(Yuumi (UTILITY)) 助攻 (Zeri (BOTTOM)) 擊殺了 (Milio (UTILITY))
",Lose
"比賽模式: CLASSIC
使用英雄: Zeri (BOTTOM)
終場表現: - 擊殺數: 7, 死亡數: 10, 助攻數: 3 - 獲得金錢: 9494 - 經驗值: 8055, 等级: 11 - 小兵擊殺數: 160, 野怪擊殺數: 1 關鍵事件:
- 在 251 秒時，(Zeri (BOTTOM)) 被 (Khazix (JUNGLE)) 擊殺
- 在 340 秒時，(Zeri (BOTTOM)) 助攻 (Warwick (JUNGLE)) 擊殺了 (Khazix (JUNGLE))
- 在 342 秒時，(Zeri (BOTTOM)) 被 (Milio (UTILITY)) 擊殺
- 在 515 秒時，(Zeri (BOTTOM)) 擊殺了 (Sivir (BOTTOM))
- 在 516 秒時，(Zeri (BOTTOM)) 擊殺了 (Milio (UTILITY))
- 在 539 秒時，(Zeri (BOTTOM)) 被 (Khazix (JUNGLE)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Warwick (JUNGLE)
終場表現: - 擊殺數: 6, 死亡數: 6, 助攻數: 2 - 獲得金錢: 8557 - 經驗值: 7488, 等级: 11 - 小兵擊殺數: 9, 野怪擊殺數: 92 關鍵事件:
- 在 340 秒時，(Warwick (JUNGLE)) 擊殺了 (Khazix (JUNGLE))
- 在 391 秒時，(Warwick (JUNGLE)) 擊殺了 (Milio (UTILITY))
",Lose
